"scenario","scenario_label","variable","offset_q","quarter","baseline","scenario_value","deviation","unit"
"govcons_1pc","Government consumption: +1% (1 quarter)","IBRE",2,"2010Q3",17646.9086543462,17648.749492647,0.0104315058057303,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IBRE",4,"2011Q1",18838.4542946983,18839.6496731237,0.00634541670303523,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IBRE",8,"2012Q1",33151.3427483094,33145.4149859873,-0.0178809116938017,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IBRE",12,"2013Q1",36144.0053859276,36132.138494966,-0.0328322520841473,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IBRE",16,"2014Q1",31244.0652347076,31233.0548861357,-0.0352398079096816,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IBRE",20,"2015Q1",25733.4344424362,25725.4273077143,-0.0311156862478068,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IBREDR",0,"2010Q1",1.540745,1.540745,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IBREDR",1,"2010Q2",1.529053,1.529053,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IBREDR",2,"2010Q3",1.522029,1.522029,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IBREDR",4,"2011Q1",1.507982,1.507982,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IBREDR",8,"2012Q1",1.549169,1.549169,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IBREDR",12,"2013Q1",1.515033,1.515033,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IBREDR",16,"2014Q1",1.444374,1.444374,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IBREDR",20,"2015Q1",1.40373,1.40373,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","ID",0,"2010Q1",20593.3964976902,20593.3964976902,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","ID",1,"2010Q2",21481.1207546426,21475.9936762917,-0.0238678345018895,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","ID",2,"2010Q3",21903.1028303881,21882.5010946529,-0.0940585262955151,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","ID",4,"2011Q1",22001.5934774388,21926.0925884582,-0.343161003579195,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","ID",8,"2012Q1",20544.2862872906,20442.9702616924,-0.493159140119825,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","ID",12,"2013Q1",20716.3097758742,20668.6716782343,-0.229954553466982,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","ID",16,"2014Q1",22703.640844833,22684.8773524086,-0.0826453014856621,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","ID",20,"2015Q1",25015.5873735722,25013.396589834,-0.00875767458692334,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IDDR",0,"2010Q1",0.730239,0.730239,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IDDR",1,"2010Q2",0.728998,0.728998,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IDDR",2,"2010Q3",0.732121,0.732121,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IDDR",4,"2011Q1",0.738365,0.738365,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IDDR",8,"2012Q1",0.749607,0.749607,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IDDR",12,"2013Q1",0.754591,0.754591,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IDDR",16,"2014Q1",0.761755,0.761755,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","IDDR",20,"2015Q1",0.767913,0.767913,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIBN",0,"2010Q1",2215825.03291506,2215825.03291506,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIBN",1,"2010Q2",2237769.98526424,2237805.34617407,0.00158018518743308,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIBN",2,"2010Q3",2256285.12083444,2256373.32903532,0.00390944389359049,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIBN",4,"2011Q1",2300436.52772417,2300589.60011942,0.00665405862771973,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIBN",8,"2012Q1",2384370.74912468,2384510.44396389,0.00585877172265548,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIBN",12,"2013Q1",2451783.83650716,2451879.94664339,0.0039200085582225,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIBN",16,"2014Q1",2502986.11575078,2503067.12529902,0.00323651608526987,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIBN",20,"2015Q1",2552090.07262863,2552163.85334312,0.00289099179064944,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIBRE",0,"2010Q1",428517.241985422,428517.221589761,-4.75958948920052e-06,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIBRE",1,"2010Q2",437962.629680929,437963.792180986,0.000265433618684696,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIBRE",2,"2010Q3",449076.159385959,449079.145030728,0.000664841521191839,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIBRE",4,"2011Q1",471868.965221024,471874.873409193,0.00125208237968799,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIBRE",8,"2012Q1",551752.174030966,551746.728088002,-0.000987027005971974,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIBRE",12,"2013Q1",664719.437137207,664673.636155083,-0.00689027273244047,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIBRE",16,"2014Q1",764125.791706811,764034.881398087,-0.0118972961926644,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIBRE",20,"2015Q1",834271.283110462,834148.76088821,-0.0146861368397921,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KID",0,"2010Q1",1753898.76620616,1753898.76620616,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KID",1,"2010Q2",1763497.27362468,1763492.14654633,-0.000290733556984613,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KID",2,"2010Q3",1773050.3060706,1773024.61479293,-0.00144898752060252,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KID",4,"2011Q1",1791410.58420467,1791266.24149551,-0.00805748891029578,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KID",8,"2012Q1",1824752.20845709,1824186.30603046,-0.0310125629114144,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KID",12,"2013Q1",1852483.06951219,1851672.15981412,-0.04377420292897,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KID",16,"2014Q1",1883249.69485691,1882354.17066511,-0.0475520688646647,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KID",20,"2015Q1",1920804.89295882,1919905.79413611,-0.0468084408783542,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIDC",0,"2010Q1",20434,20434,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIDC",1,"2010Q2",20712,20712,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIDC",2,"2010Q3",21071,21071,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIDC",4,"2011Q1",21546,21546,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIDC",8,"2012Q1",21933,21933,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIDC",12,"2013Q1",22727,22727,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIDC",16,"2014Q1",23990,23990,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KIDC",20,"2015Q1",26084,26084,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KV",0,"2010Q1",195192.880739819,195192.880739819,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KV",1,"2010Q2",193929.879940479,193930.22762643,0.000179284363532872,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KV",2,"2010Q3",193943.87715385,193944.620725407,0.000383395221303928,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KV",4,"2011Q1",195974.874318304,195976.387130054,0.000771941686816824,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KV",8,"2012Q1",204662.852914796,204665.275977806,0.0011839290694704,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KV",12,"2013Q1",206407.821872851,206410.590851214,0.00134150844595116,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KV",16,"2014Q1",201497.794407932,201500.815755829,0.0014994446494887,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","KV",20,"2015Q1",203463.769513352,203467.163735756,0.00166821956193441,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LE",0,"2010Q1",10925.5639777012,10928.2457658952,0.0245459932269654,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LE",1,"2010Q2",10954.5786274068,10960.4399775283,0.053505938666687,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LE",2,"2010Q3",11055.7227261414,11063.0287006377,0.0660831921827976,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LE",4,"2011Q1",11197.272036732,11204.86578133,0.0678178093111548,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LE",8,"2012Q1",11302.6416892621,11306.8211560205,0.0369777869040355,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LE",12,"2013Q1",11453.8099265826,11456.4725948224,0.0232470091341863,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LE",16,"2014Q1",11486.7316263213,11489.0384332274,0.0200823609462386,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LE",20,"2015Q1",11656.0659419516,11658.1647404071,0.0180060619589195,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LF",0,"2010Q1",11541.015588197,11541.7292270652,0.00618350146690538,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LF",1,"2010Q2",11566.5979581573,11568.1917794075,0.013779516293666,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LF",2,"2010Q3",11652.2253406362,11654.0785693436,0.0159045045323047,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LF",4,"2011Q1",11782.993688179,11785.4167420675,0.020563992077216,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LF",8,"2012Q1",11915.9126728486,11919.3482470709,0.0288318177264157,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LF",12,"2013Q1",12118.1495098911,12120.7540464453,0.0214928570737793,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LF",16,"2014Q1",12206.8549827052,12208.7085593235,0.0151847189211685,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LF",20,"2015Q1",12424.2786868545,12425.822732964,0.0124276519260835,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LHPP",0,"2010Q1",420.484068,420.484068,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LHPP",1,"2010Q2",424.138187,424.138187,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LHPP",2,"2010Q3",422.667065,422.667065,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LHPP",4,"2011Q1",423.417139,423.417139,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LHPP",8,"2012Q1",421.929874,421.929874,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LHPP",12,"2013Q1",418.889445,418.889445,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LHPP",16,"2014Q1",419.269024,419.269024,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LHPP",20,"2015Q1",419.148956,419.148956,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LOKLAG",0,"2010Q1",0.408836,0.408836,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LOKLAG",1,"2010Q2",0.411857,0.411857,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LOKLAG",2,"2010Q3",0.414436,0.414436,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LOKLAG",4,"2011Q1",0.41677,0.41677,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LOKLAG",8,"2012Q1",0.420228,0.420228,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LOKLAG",12,"2013Q1",0.423215,0.423215,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LOKLAG",16,"2014Q1",0.432206,0.432206,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LOKLAG",20,"2015Q1",0.421621,0.421621,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LPOP",0,"2010Q1",17684.822333,17684.822333,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LPOP",1,"2010Q2",17753.170333,17753.170333,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LPOP",2,"2010Q3",17814.902,17814.902,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LPOP",4,"2011Q1",17953.595,17953.595,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LPOP",8,"2012Q1",18259.767,18259.767,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LPOP",12,"2013Q1",18588.333333,18588.333333,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LPOP",16,"2014Q1",18888.738667,18888.738667,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LPOP",20,"2015Q1",19168.579333,19168.579333,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LPR",0,"2010Q1",65.259532156863,65.2635674751419,0.00618349250371963,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LPR",1,"2010Q2",65.152317041558,65.1612947127028,0.0137795116926576,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LPR",2,"2010Q3",65.4071453842414,65.417548072437,0.0159045133899527,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LPR",4,"2011Q1",65.6303574977933,65.6438537022498,0.0205639660838086,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LPR",8,"2012Q1",65.2577351630077,65.2765501578665,0.02883182324942,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LPR",12,"2013Q1",65.192350146908,65.206361820292,0.02149281833288,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LPR",16,"2014Q1",64.6249458070277,64.6347589377556,0.0151847411326012,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LPR",20,"2015Q1",64.8158006550036,64.8238557439213,0.0124276624469122,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LUR",0,"2010Q1",5.33273355184797,5.31535135767518,-0.0173821941727894,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LUR",1,"2010Q2",5.29126483832594,5.25364562991644,-0.0376192084095051,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LUR",2,"2010Q3",5.11921626176039,5.07161390056774,-0.0476023611926477,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LUR",4,"2011Q1",4.97090694391707,4.92601130230148,-0.0448956416155912,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LUR",8,"2012Q1",5.14665557245909,5.138931075371,-0.00772449708808853,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LUR",12,"2013Q1",5.48218672138266,5.4805290914856,-0.00165762989705698,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LUR",16,"2014Q1",5.89933572082449,5.89472770685884,-0.00460801396564481,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LUR",20,"2015Q1",6.18315770488698,6.17792486706276,-0.00523283782421657,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LURGAP",0,"2010Q1",-0.00456944815202842,-0.0219516423248178,380.400293306169,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LURGAP",1,"2010Q2",-0.00237716167405555,-0.0399963700835606,1582.52628839186,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LURGAP",2,"2010Q3",-0.139518738239612,-0.18712109943226,34.1189734033392,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LURGAP",4,"2011Q1",-0.218862056082926,-0.263757697698517,20.5132138567594,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LURGAP",8,"2012Q1",0.151553572459092,0.143829075371004,-5.09687562143977,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LURGAP",12,"2013Q1",0.576693721382656,0.575036091485599,-0.287436785870099,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LURGAP",16,"2014Q1",1.08484372082449,1.08023570685884,-0.424762929184186,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","LURGAP",20,"2015Q1",1.48693870488698,1.48170586706276,-0.351920210767154,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","M",0,"2010Q1",74710.5786852373,74731.7608058002,0.0283522373077938,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","M",1,"2010Q2",77231.707049985,77273.4818821605,0.0540902613332284,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","M",2,"2010Q3",76220.6745961093,76286.1538367167,0.0859074535281446,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","M",4,"2011Q1",80874.7452012979,80958.6384698067,0.10373234351464,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","M",8,"2012Q1",90047.1468506969,90117.9935392891,0.0786773274556785,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","M",12,"2013Q1",87077.552106049,87130.296236858,0.0605714441130889,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","M",16,"2014Q1",85509.497258689,85550.9929530961,0.0485275855166556,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","M",20,"2015Q1",88718.4693972845,88753.4859839755,0.0394693313904959,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","N10R",0,"2010Q1",3.99808365933659,3.99882413780962,0.000740478473030493,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","N10R",1,"2010Q2",3.96043964592804,3.96318788803762,0.00274824210957902,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","N10R",2,"2010Q3",3.92265003051483,3.92812509213771,0.00547506162287981,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","N10R",4,"2011Q1",3.87131966450556,3.88182327458389,0.0105036100783358,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","N10R",8,"2012Q1",3.7807374786205,3.79225545051046,0.0115179718899596,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","N10R",12,"2013Q1",3.59665477491234,3.60491213051528,0.00825735560293506,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","N10R",16,"2014Q1",4.13480945438227,4.14138607476294,0.00657662038067119,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","N10R",20,"2015Q1",2.54063066845736,2.54646817938351,0.00583751092614593,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","N2R",0,"2010Q1",3.14250382423982,3.14461514339765,0.00211131915782836,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","N2R",1,"2010Q2",3.11679838754641,3.12455344840626,0.00775506085984734,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","N2R",2,"2010Q3",3.09752597246792,3.11276693285816,0.0152409603902433,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","N2R",4,"2011Q1",3.10665851833597,3.13491638843434,0.0282578700983702,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","N2R",8,"2012Q1",3.06394593063335,3.09170328863387,0.0277573580005224,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","N2R",12,"2013Q1",2.68644857036376,2.70367930321187,0.0172307328481107,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","N2R",16,"2014Q1",2.69954048548142,2.71225131613975,0.0127108306583374,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","N2R",20,"2015Q1",1.95704940988401,1.96821892163573,0.011169511751717,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NATS",0,"2010Q1",1640,1640,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NATS",1,"2010Q2",1618,1618,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NATS",2,"2010Q3",1431,1431,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NATS",4,"2011Q1",1496,1496,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NATS",8,"2012Q1",1712,1712,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NATS",12,"2013Q1",2224,2224,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NATS",16,"2014Q1",2107,2107,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NATS",20,"2015Q1",2235,2235,0,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NBR",0,"2010Q1",6.66692617072577,6.69424881242349,0.0273226416977153,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NBR",1,"2010Q2",7.08757000943625,7.16426626044032,0.0766962510040763,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NBR",2,"2010Q3",7.19254347273754,7.3022114804805,0.109668007742958,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NBR",4,"2011Q1",7.44471639549163,7.55303253220166,0.108316136710028,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NBR",8,"2012Q1",6.90411656502621,6.9193090670589,0.0151925020326837,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NBR",12,"2013Q1",5.50909121495659,5.51310274875675,0.00401153380016073,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NBR",16,"2014Q1",4.84305296712844,4.85687688812749,0.0138239209990543,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NBR",20,"2015Q1",4.284140600188,4.30002980259345,0.0158892024054538,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NBRSP",0,"2010Q1",2.84098599301785,2.83967164084387,-0.00131435217397602,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NBRSP",1,"2010Q2",2.68698643076583,2.68307325069836,-0.00391318006747321,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NBRSP",2,"2010Q3",2.69012406217977,2.68334308009329,-0.00678098208647926,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NBRSP",4,"2011Q1",2.69167305105113,2.68059753941986,-0.0110755116312742,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NBRSP",8,"2012Q1",2.65341346174751,2.64447992731498,-0.0089335344325252,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NBRSP",12,"2013Q1",2.51027330232748,2.50592202133716,-0.00435128099031923,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NBRSP",16,"2014Q1",2.34613468680783,2.34337354632217,-0.00276114048566001,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NBRSP",20,"2015Q1",1.942991928134,1.94062162855836,-0.00237029957563473,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NC",0,"2010Q1",183781.425678097,183790.133726935,0.00473826384048692,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NC",1,"2010Q2",187319.404311959,187333.661739115,0.00761129217132783,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NC",2,"2010Q3",189338.041985301,189368.066652991,0.0158577047565611,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NC",4,"2011Q1",195564.524436341,195610.60436527,0.023562519358955,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NC",8,"2012Q1",205776.459966473,205789.396809122,0.00628684284476044,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NC",12,"2013Q1",214495.408230237,214509.782420539,0.00670139767589006,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NC",16,"2014Q1",225223.07054405,225259.732567557,0.0162780941660889,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NC",20,"2015Q1",233151.876717816,233206.534222848,0.0234428758633332,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NCR",0,"2010Q1",3.82594017770793,3.85457717157962,0.0286369938716913,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NCR",1,"2010Q2",4.40058357867041,4.48119300974196,0.0806094310715499,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NCR",2,"2010Q3",4.50241941055777,4.61886840038721,0.116448989829437,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NCR",4,"2011Q1",4.7530433444405,4.8724349927818,0.119391648341302,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NCR",8,"2012Q1",4.2507031032787,4.27482913974391,0.0241260364652085,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NCR",12,"2013Q1",2.99881791262911,3.00718072741959,0.0083628147904804,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NCR",16,"2014Q1",2.49691828032061,2.51350334180532,0.0165850614847138,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NCR",20,"2015Q1",2.341148672054,2.35940817403509,0.0182595019810883,"ppt_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NDFD",0,"2010Q1",331674.17120835,332283.025239917,0.183569926277127,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NDFD",1,"2010Q2",336711.661129716,337199.15915454,0.144782043838121,"pct_deviation"
"govcons_1pc","Government consumption: +1% (1 quarter)","NDFD",2,"2010Q3",340459.859896211,340957.982411297,0.146308735261136,"pct_deviation"
